Delivery Number: 5, Reason: Missing Weight
Delivery Number: 486698, Reason: Missing Priority
Delivery Number: 486701, Reason: Weight cannot be zero or negative
Delivery Number: 486726, Reason: Missing Area
Delivery Number: 486744, Reason: Weight cannot be zero or negative
Delivery Number: 486745, Reason: Weight cannot be zero or negative
Delivery Number: 486760, Reason: Weight exceeds capacity
Delivery Number: 486769, Reason: Missing Area
Delivery Number: 486799, Reason: Weight cannot be zero or negative
Delivery Number: 486803, Reason: Weight exceeds capacity
Delivery Number: 486816, Reason: Missing Weight
Delivery Number: 486821, Reason: Weight exceeds capacity
Delivery Number: 486836, Reason: Missing Priority
Delivery Number: 486838, Reason: Weight cannot be zero or negative
Delivery Number: 486849, Reason: Missing Priority
Delivery Number: 486882, Reason: Missing Weight
Delivery Number: 486894, Reason: Weight cannot be zero or negative
Delivery Number: 486898, Reason: Missing Weight
Delivery Number: 486902, Reason: Weight cannot be zero or negative
Delivery Number: 486903, Reason: Missing Priority
Delivery Number: 486905, Reason: Missing Area
Delivery Number: 486927, Reason: Weight exceeds capacity
Delivery Number: 486943, Reason: Missing Priority
Delivery Number: 486945, Reason: Missing Weight
Delivery Number: 486981, Reason: Weight exceeds capacity
Delivery Number: 486982, Reason: Missing Weight
Delivery Number: 486990, Reason: Missing Weight
Delivery Number: 487026, Reason: Weight exceeds capacity
Delivery Number: 487027, Reason: Missing Weight
Delivery Number: 487056, Reason: Missing Area
Delivery Number: 487068, Reason: Weight exceeds capacity
Delivery Number: 487070, Reason: Weight exceeds capacity
Delivery Number: 487099, Reason: Missing Priority
Delivery Number: 487102, Reason: Weight cannot be zero or negative
Delivery Number: 487109, Reason: Missing Area
Delivery Number: 487132, Reason: Weight cannot be zero or negative
Delivery Number: 487161, Reason: Weight cannot be zero or negative
Delivery Number: 487169, Reason: Missing Area
Delivery Number: 487183, Reason: Weight cannot be zero or negative
Delivery Number: 487197, Reason: Missing Priority
Delivery Number: 487200, Reason: Weight exceeds capacity
Delivery Number: 487226, Reason: Missing Area
Delivery Number: 487256, Reason: Weight cannot be zero or negative
Delivery Number: 487285, Reason: Missing Priority
Delivery Number: 487291, Reason: Weight cannot be zero or negative
Delivery Number: 487306, Reason: Missing Weight
Delivery Number: 487331, Reason: Weight exceeds capacity
Delivery Number: 487334, Reason: Missing Priority
Delivery Number: 487341, Reason: Missing Area
Delivery Number: 487365, Reason: Weight exceeds capacity
Delivery Number: 487391, Reason: Weight cannot be zero or negative
Delivery Number: 487393, Reason: Weight exceeds capacity
Delivery Number: 487424, Reason: Missing Area
Delivery Number: 487480, Reason: Missing Area
Delivery Number: 487489, Reason: Weight cannot be zero or negative
Delivery Number: 487520, Reason: Missing Area
Delivery Number: 487529, Reason: Missing Area
Delivery Number: 487587, Reason: Weight cannot be zero or negative
Delivery Number: 487598, Reason: Missing Area
Delivery Number: 487610, Reason: Weight cannot be zero or negative
Delivery Number: 487639, Reason: Missing Priority
Delivery Number: 487642, Reason: Missing Area
Delivery Number: 487655, Reason: Weight exceeds capacity
Delivery Number: 487729, Reason: Missing Area
Delivery Number: 487741, Reason: Missing Priority
Delivery Number: 487742, Reason: Missing Area
Delivery Number: 487745, Reason: Missing Area
Delivery Number: 487753, Reason: Missing Area
Delivery Number: 487771, Reason: Missing Priority
Delivery Number: 487790, Reason: Missing Weight
Delivery Number: 487797, Reason: Weight exceeds capacity
Delivery Number: 487808, Reason: Weight exceeds capacity
Delivery Number: 487820, Reason: Missing Area
Delivery Number: 487823, Reason: Missing Area
Delivery Number: 487832, Reason: Weight cannot be zero or negative
Delivery Number: 487845, Reason: Missing Area
Delivery Number: 487846, Reason: Weight exceeds capacity
Delivery Number: 487856, Reason: Weight exceeds capacity
Delivery Number: 487870, Reason: Missing Weight
Delivery Number: 487873, Reason: Missing Weight
Delivery Number: 487886, Reason: Missing Priority
Delivery Number: 487897, Reason: Weight cannot be zero or negative
Delivery Number: 487902, Reason: Missing Area
Delivery Number: 487918, Reason: Missing Area
Delivery Number: 487938, Reason: Missing Weight
Delivery Number: 487946, Reason: Missing Area
Delivery Number: 487995, Reason: Weight exceeds capacity
Delivery Number: 488009, Reason: Missing Weight
Delivery Number: 488028, Reason: Missing Area
Delivery Number: 488030, Reason: Weight cannot be zero or negative
Delivery Number: 488038, Reason: Missing Weight
Delivery Number: 488048, Reason: Weight exceeds capacity
Delivery Number: 488067, Reason: Weight exceeds capacity
Delivery Number: 488098, Reason: Missing Weight
Delivery Number: 488104, Reason: Missing Weight
Delivery Number: 488107, Reason: Weight exceeds capacity
Delivery Number: 488110, Reason: Weight exceeds capacity
Delivery Number: 488123, Reason: Weight cannot be zero or negative
Delivery Number: 488130, Reason: Missing Area
Delivery Number: 488139, Reason: Missing Area
Delivery Number: 488162, Reason: Weight cannot be zero or negative
Delivery Number: 488164, Reason: Missing Priority
Delivery Number: 488170, Reason: Missing Area
Delivery Number: 488171, Reason: Weight cannot be zero or negative
Delivery Number: 488172, Reason: Missing Area
Delivery Number: 488175, Reason: Weight cannot be zero or negative
Delivery Number: 488178, Reason: Weight cannot be zero or negative
Delivery Number: 488184, Reason: Weight cannot be zero or negative
Delivery Number: 488186, Reason: Weight exceeds capacity
Delivery Number: 488207, Reason: Weight cannot be zero or negative
Delivery Number: 488219, Reason: Weight cannot be zero or negative
Delivery Number: 488227, Reason: Missing Weight
Delivery Number: 488232, Reason: Missing Priority
Delivery Number: 488234, Reason: Missing Priority
Delivery Number: 488236, Reason: Missing Area
Delivery Number: 488249, Reason: Weight cannot be zero or negative
Delivery Number: 488250, Reason: Missing Area
Delivery Number: 488262, Reason: Weight exceeds capacity
Delivery Number: 488267, Reason: Missing Area
Delivery Number: 488288, Reason: Weight exceeds capacity
Delivery Number: 488299, Reason: Missing Weight
Delivery Number: 488301, Reason: Missing Priority
Delivery Number: 488312, Reason: Weight cannot be zero or negative
Delivery Number: 488318, Reason: Weight exceeds capacity
Delivery Number: 488325, Reason: Weight cannot be zero or negative
Delivery Number: 488331, Reason: Missing Area
Delivery Number: 488360, Reason: Missing Priority
Delivery Number: 488364, Reason: Missing Weight
Delivery Number: 488369, Reason: Weight exceeds capacity
Delivery Number: 488380, Reason: Weight cannot be zero or negative
Delivery Number: 488381, Reason: Missing Priority
Delivery Number: 488402, Reason: Weight cannot be zero or negative
Delivery Number: 488437, Reason: Weight exceeds capacity
Delivery Number: 488483, Reason: Weight exceeds capacity
Delivery Number: 488498, Reason: Weight cannot be zero or negative
Delivery Number: 488499, Reason: Missing Area
Delivery Number: 488510, Reason: Weight exceeds capacity
Delivery Number: 488534, Reason: Missing Priority
Delivery Number: 488538, Reason: Weight cannot be zero or negative
Delivery Number: 488546, Reason: Weight cannot be zero or negative
Delivery Number: 488568, Reason: Missing Area
Delivery Number: 488594, Reason: Weight cannot be zero or negative
Delivery Number: 488596, Reason: Weight cannot be zero or negative
Delivery Number: 488603, Reason: Missing Area
Delivery Number: 488616, Reason: Missing Weight
Delivery Number: 488627, Reason: Missing Area
Delivery Number: 488665, Reason: Missing Area
Delivery Number: 488669, Reason: Missing Area
Delivery Number: 488674, Reason: Weight cannot be zero or negative
Delivery Number: 488678, Reason: Missing Area
Delivery Number: 488711, Reason: Missing Priority
Delivery Number: 488714, Reason: Missing Area
Delivery Number: 488721, Reason: Weight cannot be zero or negative
Delivery Number: 488730, Reason: Missing Weight
Delivery Number: 488739, Reason: Missing Weight
Delivery Number: 488751, Reason: Missing Weight
Delivery Number: 488753, Reason: Weight exceeds capacity
Delivery Number: 488754, Reason: Missing Area
Delivery Number: 488823, Reason: Missing Area
Delivery Number: 488842, Reason: Weight cannot be zero or negative
Delivery Number: 488857, Reason: Missing Weight
Delivery Number: 488864, Reason: Weight cannot be zero or negative
Delivery Number: 488869, Reason: Missing Area
Delivery Number: 488877, Reason: Missing Priority
Delivery Number: 488890, Reason: Missing Priority
Delivery Number: 488911, Reason: Weight cannot be zero or negative
Delivery Number: 488922, Reason: Weight cannot be zero or negative
Delivery Number: 488935, Reason: Missing Area
Delivery Number: 488942, Reason: Weight cannot be zero or negative
Delivery Number: 488946, Reason: Missing Area
Delivery Number: 488953, Reason: Missing Area
Delivery Number: 489003, Reason: Missing Weight
Delivery Number: 489027, Reason: Weight exceeds capacity
Delivery Number: 489034, Reason: Weight exceeds capacity
Delivery Number: 489038, Reason: Weight cannot be zero or negative
Delivery Number: 489047, Reason: Weight exceeds capacity
Delivery Number: 489068, Reason: Weight exceeds capacity
Delivery Number: 489083, Reason: Missing Area
Delivery Number: 489088, Reason: Missing Area
Delivery Number: 489090, Reason: Missing Weight
Delivery Number: 489130, Reason: Weight cannot be zero or negative
Delivery Number: 489141, Reason: Missing Area
Delivery Number: 489147, Reason: Weight cannot be zero or negative
Delivery Number: 489166, Reason: Weight cannot be zero or negative
Delivery Number: 489169, Reason: Missing Area
Delivery Number: 489185, Reason: Missing Weight
Delivery Number: 489195, Reason: Weight cannot be zero or negative
Delivery Number: 489206, Reason: Weight cannot be zero or negative
Delivery Number: 489211, Reason: Missing Area
Delivery Number: 489221, Reason: Missing Priority
Delivery Number: 489232, Reason: Weight cannot be zero or negative
Delivery Number: 489243, Reason: Weight cannot be zero or negative
Delivery Number: 489268, Reason: Weight cannot be zero or negative
Delivery Number: 489291, Reason: Weight cannot be zero or negative
Delivery Number: 489296, Reason: Missing Area
Delivery Number: 489299, Reason: Missing Area
Delivery Number: 489308, Reason: Missing Area
Delivery Number: 489311, Reason: Weight cannot be zero or negative
Delivery Number: 489325, Reason: Missing Area
Delivery Number: 489339, Reason: Missing Weight
Delivery Number: 489343, Reason: Missing Area
Delivery Number: 489355, Reason: Weight cannot be zero or negative
Delivery Number: 489406, Reason: Missing Area
Delivery Number: 489417, Reason: Weight exceeds capacity
Delivery Number: 489425, Reason: Missing Area
Delivery Number: 489432, Reason: Weight exceeds capacity
Delivery Number: 489438, Reason: Missing Priority
Delivery Number: 489448, Reason: Weight cannot be zero or negative
Delivery Number: 489460, Reason: Missing Priority
Delivery Number: 489468, Reason: Missing Priority
Delivery Number: 489474, Reason: Missing Weight
Delivery Number: 489487, Reason: Missing Area
Delivery Number: 489491, Reason: Missing Priority
Delivery Number: 489505, Reason: Weight cannot be zero or negative
Delivery Number: 489511, Reason: Weight exceeds capacity
Delivery Number: 489530, Reason: Missing Priority
Delivery Number: 489531, Reason: Missing Priority
Delivery Number: 489558, Reason: Missing Priority
Delivery Number: 489588, Reason: Missing Area
Delivery Number: 489591, Reason: Missing Priority
Delivery Number: 489594, Reason: Missing Area
Delivery Number: 489613, Reason: Missing Priority
Delivery Number: 489621, Reason: Weight exceeds capacity
Delivery Number: 489627, Reason: Weight cannot be zero or negative
Delivery Number: 489640, Reason: Weight cannot be zero or negative
Delivery Number: 489656, Reason: Weight cannot be zero or negative
Delivery Number: 489670, Reason: Weight exceeds capacity
Delivery Number: 489687, Reason: Missing Area
Delivery Number: 489708, Reason: Missing Area
Delivery Number: 489754, Reason: Missing Area
Delivery Number: 489756, Reason: Weight exceeds capacity
Delivery Number: 489760, Reason: Missing Weight
Delivery Number: 489793, Reason: Missing Area
Delivery Number: 489795, Reason: Weight cannot be zero or negative
Delivery Number: 489800, Reason: Weight cannot be zero or negative
Delivery Number: 489817, Reason: Weight cannot be zero or negative
Delivery Number: 489853, Reason: Missing Area
Delivery Number: 489857, Reason: Missing Priority
Delivery Number: 489860, Reason: Missing Weight
Delivery Number: 489866, Reason: Missing Priority
Delivery Number: 489875, Reason: Weight cannot be zero or negative
Delivery Number: 489878, Reason: Weight cannot be zero or negative
Delivery Number: 489896, Reason: Weight cannot be zero or negative
Delivery Number: 489907, Reason: Missing Area
Delivery Number: 489920, Reason: Missing Area
Delivery Number: 489923, Reason: Missing Priority
Delivery Number: 489935, Reason: Missing Area
Delivery Number: 489936, Reason: Weight exceeds capacity
Delivery Number: 489952, Reason: Weight cannot be zero or negative
Delivery Number: 489987, Reason: Weight cannot be zero or negative
Delivery Number: 490003, Reason: Weight exceeds capacity
Delivery Number: 490040, Reason: Missing Weight
Delivery Number: 490051, Reason: Missing Area
Delivery Number: 490073, Reason: Missing Priority
Delivery Number: 490095, Reason: Missing Priority
Delivery Number: 490100, Reason: Weight exceeds capacity
Delivery Number: 490101, Reason: Weight cannot be zero or negative
Delivery Number: 490112, Reason: Missing Priority
Delivery Number: 490122, Reason: Missing Priority
Delivery Number: 490188, Reason: Missing Priority
Delivery Number: 490190, Reason: Weight cannot be zero or negative
Delivery Number: 490192, Reason: Weight cannot be zero or negative
Delivery Number: 490203, Reason: Weight cannot be zero or negative
Delivery Number: 490217, Reason: Missing Priority
Delivery Number: 490293, Reason: Missing Priority
Delivery Number: 490314, Reason: Missing Priority
Delivery Number: 490371, Reason: Missing Area
Delivery Number: 490388, Reason: Missing Area
Delivery Number: 490413, Reason: Missing Weight
Delivery Number: 490420, Reason: Missing Priority
Delivery Number: 490433, Reason: Missing Weight
Delivery Number: 490446, Reason: Weight cannot be zero or negative
Delivery Number: 490455, Reason: Weight exceeds capacity
Delivery Number: 490456, Reason: Weight cannot be zero or negative
Delivery Number: 490468, Reason: Missing Area
Delivery Number: 490483, Reason: Weight cannot be zero or negative
Delivery Number: 490493, Reason: Weight cannot be zero or negative
Delivery Number: 490507, Reason: Weight cannot be zero or negative
Delivery Number: 490515, Reason: Missing Weight
Delivery Number: 490516, Reason: Missing Area
Delivery Number: 490536, Reason: Missing Area
Delivery Number: 490539, Reason: Missing Priority
Delivery Number: 490555, Reason: Weight cannot be zero or negative
Delivery Number: 490556, Reason: Weight cannot be zero or negative
Delivery Number: 490561, Reason: Weight cannot be zero or negative
Delivery Number: 490562, Reason: Weight cannot be zero or negative
Delivery Number: 490567, Reason: Missing Priority
Delivery Number: 490579, Reason: Weight cannot be zero or negative
Delivery Number: 490588, Reason: Weight exceeds capacity
Delivery Number: 490605, Reason: Missing Area
Delivery Number: 490610, Reason: Missing Weight
Delivery Number: 490626, Reason: Missing Weight
Delivery Number: 490636, Reason: Missing Area
Delivery Number: 490666, Reason: Missing Priority
Delivery Number: 490667, Reason: Weight cannot be zero or negative
Delivery Number: 490696, Reason: Weight exceeds capacity
Delivery Number: 490743, Reason: Missing Area
Delivery Number: 490759, Reason: Missing Priority
Delivery Number: 490770, Reason: Weight cannot be zero or negative
Delivery Number: 490775, Reason: Missing Area
Delivery Number: 490799, Reason: Missing Area
Delivery Number: 490812, Reason: Weight exceeds capacity
Delivery Number: 490813, Reason: Missing Area
Delivery Number: 490839, Reason: Missing Weight
Delivery Number: 490852, Reason: Missing Area
Delivery Number: 490854, Reason: Weight cannot be zero or negative
Delivery Number: 490863, Reason: Weight exceeds capacity
Delivery Number: 490876, Reason: Weight cannot be zero or negative
Delivery Number: 490879, Reason: Missing Priority
Delivery Number: 490880, Reason: Weight cannot be zero or negative
Delivery Number: 490917, Reason: Weight exceeds capacity
Delivery Number: 490930, Reason: Weight cannot be zero or negative
Delivery Number: 490944, Reason: Missing Area
Delivery Number: 490946, Reason: Missing Area
Delivery Number: 490949, Reason: Weight exceeds capacity
Delivery Number: 490955, Reason: Missing Area
Delivery Number: 490963, Reason: Missing Priority
Delivery Number: 490970, Reason: Missing Area
Delivery Number: 490996, Reason: Weight exceeds capacity
Delivery Number: 491034, Reason: Missing Area
Delivery Number: 491047, Reason: Weight exceeds capacity
Delivery Number: 491056, Reason: Missing Weight
Delivery Number: 491061, Reason: Missing Weight
Delivery Number: 491095, Reason: Missing Area
Delivery Number: 491100, Reason: Weight exceeds capacity
Delivery Number: 491104, Reason: Weight cannot be zero or negative
Delivery Number: 491118, Reason: Missing Priority
Delivery Number: 491119, Reason: Missing Weight
Delivery Number: 491142, Reason: Missing Priority
Delivery Number: 491144, Reason: Missing Area
Delivery Number: 491148, Reason: Weight cannot be zero or negative
Delivery Number: 491158, Reason: Missing Priority
Delivery Number: 491172, Reason: Weight cannot be zero or negative
Delivery Number: 491189, Reason: Weight exceeds capacity
Delivery Number: 491193, Reason: Weight cannot be zero or negative
Delivery Number: 491199, Reason: Weight cannot be zero or negative
Delivery Number: 491200, Reason: Missing Weight
Delivery Number: 491205, Reason: Missing Area
Delivery Number: 491209, Reason: Weight cannot be zero or negative
Delivery Number: 491212, Reason: Missing Area
Delivery Number: 491216, Reason: Missing Area
Delivery Number: 491222, Reason: Missing Area
Delivery Number: 491226, Reason: Missing Priority
Delivery Number: 491235, Reason: Weight cannot be zero or negative
Delivery Number: 491248, Reason: Weight cannot be zero or negative
Delivery Number: 491250, Reason: Missing Priority
Delivery Number: 491253, Reason: Weight cannot be zero or negative
Delivery Number: 491284, Reason: Missing Area
Delivery Number: 491285, Reason: Missing Priority
Delivery Number: 491290, Reason: Weight exceeds capacity
Delivery Number: 491296, Reason: Missing Weight
Delivery Number: 491328, Reason: Missing Area
Delivery Number: 491342, Reason: Weight exceeds capacity
Delivery Number: 491357, Reason: Weight cannot be zero or negative
Delivery Number: 491367, Reason: Weight cannot be zero or negative
Delivery Number: 491378, Reason: Missing Area
Delivery Number: 491397, Reason: Weight exceeds capacity
Delivery Number: 491424, Reason: Missing Weight
Delivery Number: 491429, Reason: Weight exceeds capacity
Delivery Number: 491453, Reason: Weight exceeds capacity
Delivery Number: 491462, Reason: Weight cannot be zero or negative
Delivery Number: 491463, Reason: Weight cannot be zero or negative
Delivery Number: 491464, Reason: Missing Area
Delivery Number: 491471, Reason: Missing Weight
Delivery Number: 491501, Reason: Missing Priority
Delivery Number: 491526, Reason: Missing Weight
Delivery Number: 491527, Reason: Weight exceeds capacity
Delivery Number: 491529, Reason: Missing Area
Delivery Number: 491536, Reason: Weight cannot be zero or negative
Delivery Number: 491537, Reason: Missing Area
Delivery Number: 491546, Reason: Missing Area
Delivery Number: 491548, Reason: Weight cannot be zero or negative
Delivery Number: 491554, Reason: Missing Priority
Delivery Number: 491559, Reason: Missing Priority
Delivery Number: 491562, Reason: Missing Area
Delivery Number: 491565, Reason: Weight cannot be zero or negative
Delivery Number: 491573, Reason: Missing Weight
Delivery Number: 491575, Reason: Weight cannot be zero or negative
Delivery Number: 491588, Reason: Weight cannot be zero or negative
Delivery Number: 491590, Reason: Weight cannot be zero or negative
Delivery Number: 491597, Reason: Missing Area
Delivery Number: 491634, Reason: Weight cannot be zero or negative
Delivery Number: 491645, Reason: Missing Area
Delivery Number: 491648, Reason: Missing Priority
Delivery Number: 491674, Reason: Missing Area
Delivery Number: 491714, Reason: Weight exceeds capacity
Delivery Number: 491717, Reason: Missing Area
Delivery Number: 491726, Reason: Weight cannot be zero or negative
Delivery Number: 491727, Reason: Missing Priority
Delivery Number: 491733, Reason: Missing Area
Delivery Number: 491745, Reason: Missing Area
Delivery Number: 491749, Reason: Missing Area
Delivery Number: 491781, Reason: Missing Area
Delivery Number: 491795, Reason: Weight exceeds capacity
Delivery Number: 491814, Reason: Weight cannot be zero or negative
Delivery Number: 491822, Reason: Weight cannot be zero or negative
Delivery Number: 491828, Reason: Weight cannot be zero or negative
Delivery Number: 491829, Reason: Missing Weight
Delivery Number: 491837, Reason: Weight exceeds capacity
Delivery Number: 491841, Reason: Weight exceeds capacity
Delivery Number: 491847, Reason: Missing Priority
Delivery Number: 491865, Reason: Weight cannot be zero or negative
Delivery Number: 491870, Reason: Missing Area
Delivery Number: 491874, Reason: Missing Area
Delivery Number: 491882, Reason: Weight cannot be zero or negative
Delivery Number: 491883, Reason: Weight cannot be zero or negative
Delivery Number: 491894, Reason: Weight exceeds capacity
Delivery Number: 491918, Reason: Weight cannot be zero or negative
Delivery Number: 491924, Reason: Missing Priority
Delivery Number: 491934, Reason: Missing Priority
Delivery Number: 491983, Reason: Weight cannot be zero or negative
Delivery Number: 491985, Reason: Missing Weight
Delivery Number: 492000, Reason: Weight cannot be zero or negative
Delivery Number: 492011, Reason: Weight cannot be zero or negative
Delivery Number: 492016, Reason: Weight cannot be zero or negative
Delivery Number: 492026, Reason: Missing Area
Delivery Number: 492052, Reason: Weight cannot be zero or negative
Delivery Number: 492062, Reason: Missing Weight
Delivery Number: 492064, Reason: Missing Weight
Delivery Number: 492067, Reason: Weight exceeds capacity
Delivery Number: 492095, Reason: Weight cannot be zero or negative
Delivery Number: 492098, Reason: Weight cannot be zero or negative
Delivery Number: 492104, Reason: Weight cannot be zero or negative
Delivery Number: 492106, Reason: Missing Priority
Delivery Number: 492115, Reason: Weight cannot be zero or negative
Delivery Number: 492118, Reason: Weight cannot be zero or negative
Delivery Number: 492125, Reason: Missing Area
Delivery Number: 492143, Reason: Missing Area
Delivery Number: 492161, Reason: Weight cannot be zero or negative
Delivery Number: 492187, Reason: Weight cannot be zero or negative
Delivery Number: 492195, Reason: Missing Priority
Delivery Number: 492209, Reason: Missing Priority
Delivery Number: 492215, Reason: Weight cannot be zero or negative
Delivery Number: 492233, Reason: Weight cannot be zero or negative
Delivery Number: 492248, Reason: Missing Weight
Delivery Number: 492274, Reason: Weight exceeds capacity
Delivery Number: 492276, Reason: Missing Weight
Delivery Number: 492298, Reason: Weight cannot be zero or negative
Delivery Number: 492306, Reason: Weight exceeds capacity
Delivery Number: 492323, Reason: Weight cannot be zero or negative
Delivery Number: 492338, Reason: Weight exceeds capacity
Delivery Number: 492367, Reason: Missing Priority
Delivery Number: 492373, Reason: Weight exceeds capacity
Delivery Number: 492377, Reason: Missing Weight
Delivery Number: 492393, Reason: Weight cannot be zero or negative
Delivery Number: 492399, Reason: Missing Area
Delivery Number: 492401, Reason: Missing Priority
Delivery Number: 492404, Reason: Missing Area
Delivery Number: 492417, Reason: Missing Weight
Delivery Number: 492433, Reason: Weight exceeds capacity
Delivery Number: 492443, Reason: Weight cannot be zero or negative
Delivery Number: 492450, Reason: Weight cannot be zero or negative
Delivery Number: 492470, Reason: Missing Area
Delivery Number: 492482, Reason: Missing Area
Delivery Number: 492508, Reason: Weight cannot be zero or negative
Delivery Number: 492519, Reason: Missing Area
Delivery Number: 492520, Reason: Missing Area
Delivery Number: 492522, Reason: Weight cannot be zero or negative
Delivery Number: 492527, Reason: Missing Weight
Delivery Number: 492561, Reason: Weight cannot be zero or negative
Delivery Number: 492562, Reason: Missing Area
Delivery Number: 492567, Reason: Missing Area
Delivery Number: 492603, Reason: Missing Weight
Delivery Number: 492608, Reason: Weight cannot be zero or negative
Delivery Number: 492609, Reason: Missing Area
Delivery Number: 492631, Reason: Missing Priority
Delivery Number: 492673, Reason: Missing Area
Delivery Number: 492691, Reason: Weight cannot be zero or negative
Delivery Number: 492714, Reason: Missing Area
Delivery Number: 492716, Reason: Missing Priority
Delivery Number: 492740, Reason: Missing Weight
Delivery Number: 492769, Reason: Weight exceeds capacity
Delivery Number: 492795, Reason: Missing Priority
Delivery Number: 492827, Reason: Missing Priority
Delivery Number: 492833, Reason: Weight cannot be zero or negative
Delivery Number: 492889, Reason: Missing Area
Delivery Number: 492917, Reason: Missing Area
Delivery Number: 492943, Reason: Missing Weight
Delivery Number: 492952, Reason: Missing Area
Delivery Number: 492980, Reason: Missing Area
Delivery Number: 492997, Reason: Weight exceeds capacity
Delivery Number: 493016, Reason: Missing Priority
Delivery Number: 493017, Reason: Weight cannot be zero or negative
Delivery Number: 493037, Reason: Missing Priority
Delivery Number: 493039, Reason: Missing Weight
Delivery Number: 493040, Reason: Weight cannot be zero or negative
Delivery Number: 493091, Reason: Weight cannot be zero or negative
Delivery Number: 493093, Reason: Missing Area
Delivery Number: 493121, Reason: Missing Priority
Delivery Number: 493130, Reason: Missing Weight
Delivery Number: 493165, Reason: Missing Area
Delivery Number: 493167, Reason: Missing Weight
Delivery Number: 493168, Reason: Missing Area
Delivery Number: 493181, Reason: Missing Area
Delivery Number: 493207, Reason: Missing Area
Delivery Number: 493223, Reason: Weight cannot be zero or negative
Delivery Number: 493245, Reason: Weight exceeds capacity
Delivery Number: 493246, Reason: Missing Priority
Delivery Number: 493249, Reason: Weight cannot be zero or negative
Delivery Number: 493261, Reason: Weight exceeds capacity
Delivery Number: 493265, Reason: Weight cannot be zero or negative
Delivery Number: 493275, Reason: Weight cannot be zero or negative
Delivery Number: 493278, Reason: Missing Area
Delivery Number: 493319, Reason: Weight cannot be zero or negative
Delivery Number: 493322, Reason: Missing Weight
Delivery Number: 493324, Reason: Weight exceeds capacity
Delivery Number: 493343, Reason: Weight cannot be zero or negative
Delivery Number: 493346, Reason: Missing Weight
Delivery Number: 493380, Reason: Weight cannot be zero or negative
Delivery Number: 493386, Reason: Missing Area
Delivery Number: 493408, Reason: Weight cannot be zero or negative
Delivery Number: 493411, Reason: Weight cannot be zero or negative
Delivery Number: 493417, Reason: Weight cannot be zero or negative
Delivery Number: 493418, Reason: Missing Area
Delivery Number: 493425, Reason: Weight cannot be zero or negative
Delivery Number: 493431, Reason: Weight cannot be zero or negative
Delivery Number: 493449, Reason: Missing Priority
Delivery Number: 493472, Reason: Weight exceeds capacity
Delivery Number: 493482, Reason: Weight exceeds capacity
Delivery Number: 493489, Reason: Missing Priority
Delivery Number: 493498, Reason: Weight exceeds capacity
Delivery Number: 493499, Reason: Missing Area
Delivery Number: 493502, Reason: Missing Priority
Delivery Number: 493527, Reason: Weight cannot be zero or negative
Delivery Number: 493545, Reason: Weight cannot be zero or negative
Delivery Number: 493551, Reason: Missing Weight
Delivery Number: 493595, Reason: Missing Weight
Delivery Number: 493598, Reason: Missing Area
Delivery Number: 493606, Reason: Weight cannot be zero or negative
Delivery Number: 493613, Reason: Weight cannot be zero or negative
Delivery Number: 493615, Reason: Missing Area
Delivery Number: 493640, Reason: Weight exceeds capacity
Delivery Number: 493641, Reason: Weight exceeds capacity
Delivery Number: 493646, Reason: Weight cannot be zero or negative
Delivery Number: 493671, Reason: Missing Area
Delivery Number: 493673, Reason: Missing Priority
Delivery Number: 493674, Reason: Missing Priority
Delivery Number: 493689, Reason: Missing Area
Delivery Number: 493706, Reason: Missing Area
Delivery Number: 493708, Reason: Weight exceeds capacity
Delivery Number: 493710, Reason: Missing Weight
Delivery Number: 493722, Reason: Weight cannot be zero or negative
Delivery Number: 493726, Reason: Weight exceeds capacity
Delivery Number: 493727, Reason: Weight exceeds capacity
Delivery Number: 493732, Reason: Missing Priority
Delivery Number: 493737, Reason: Weight cannot be zero or negative
Delivery Number: 493742, Reason: Weight exceeds capacity
Delivery Number: 493743, Reason: Weight cannot be zero or negative
Delivery Number: 493772, Reason: Weight cannot be zero or negative
Delivery Number: 493776, Reason: Weight cannot be zero or negative
Delivery Number: 493790, Reason: Weight exceeds capacity
Delivery Number: 493802, Reason: Missing Area
Delivery Number: 493805, Reason: Weight exceeds capacity
Delivery Number: 493809, Reason: Missing Weight
Delivery Number: 493815, Reason: Weight cannot be zero or negative
Delivery Number: 493839, Reason: Weight cannot be zero or negative
Delivery Number: 493849, Reason: Weight exceeds capacity
Delivery Number: 493863, Reason: Weight exceeds capacity
Delivery Number: 493882, Reason: Weight cannot be zero or negative
Delivery Number: 493884, Reason: Missing Priority
Delivery Number: 493921, Reason: Missing Weight
Delivery Number: 493936, Reason: Missing Weight
Delivery Number: 493946, Reason: Missing Weight
Delivery Number: 493950, Reason: Weight exceeds capacity
Delivery Number: 493961, Reason: Missing Area
Delivery Number: 493988, Reason: Missing Weight
Delivery Number: 493989, Reason: Missing Area
Delivery Number: 494007, Reason: Missing Priority
Delivery Number: 494019, Reason: Weight cannot be zero or negative
Delivery Number: 494068, Reason: Weight exceeds capacity
Delivery Number: 494095, Reason: Weight cannot be zero or negative
Delivery Number: 494115, Reason: Missing Priority
Delivery Number: 494125, Reason: Weight cannot be zero or negative
Delivery Number: 494159, Reason: Missing Area
Delivery Number: 494164, Reason: Missing Area
Delivery Number: 494177, Reason: Weight exceeds capacity
Delivery Number: 494183, Reason: Weight cannot be zero or negative
Delivery Number: 494188, Reason: Missing Area
